filename,status,set,number,fullName,imageField,sourceUrl,contentType
001 - 22 - Maleficent - Uninvited.jpg,downloaded,1,22,Maleficent - Uninvited,full,https://api.lorcana.ravensburger.com/images/en/promo1/22_97ff0b8fcf7660222a56df648ae3323b5abcc8f4.jpg,image/jpeg;charset=UTF-8
001 - 22 - Stitch - New Dog.jpg,downloaded,1,22,Stitch - New Dog,full,https://api.lorcana.ravensburger.com/images/en/set1/22_971f043169234b0cbc38aedf5373abbb37fb9df7.jpg,image/jpeg;charset=UTF-8
001 - 23 - Lightning Storm.jpg,downloaded,1,23,Lightning Storm,full,https://api.lorcana.ravensburger.com/images/en/quest1/23_0e79ad4259a624538583e59167c38eeaa2aa8ef7.jpg,image/jpeg;charset=UTF-8
001 - 23 - Maui - Demigod.jpg,downloaded,1,23,Maui - Demigod,full,https://api.lorcana.ravensburger.com/images/en/promo1/23_972659d64f29f656a75e57fe9ea225d4664bef0f.jpg,image/jpeg;charset=UTF-8
001 - 23 - Stitch - Rock Star.jpg,downloaded,1,23,Stitch - Rock Star,full,https://api.lorcana.ravensburger.com/images/en/set1/23_a962999a02d161d6f5341c69469c12bf30e0bd2b.jpg,image/jpeg;charset=UTF-8
001 - 24 - Gaston - Arrogant Hunter.jpg,downloaded,1,24,Gaston - Arrogant Hunter,full,https://api.lorcana.ravensburger.com/images/en/promo1/24_07184a7d67ecac9b3bef748f5537fc73ed1a6ec5.jpg,image/jpeg;charset=UTF-8
001 - 24 - Riptide.jpg,downloaded,1,24,Riptide,full,https://api.lorcana.ravensburger.com/images/en/quest1/24_94ce0a05d808a2ce7b0bdf54756da875fd2ddffc.jpg,image/jpeg;charset=UTF-8
001 - 24 - Timon - Grub Rustler.jpg,downloaded,1,24,Timon - Grub Rustler,full,https://api.lorcana.ravensburger.com/images/en/set1/24_f5c1d20a4a59bed1d14f849b9f70b71e1eab4bc0.jpg,image/jpeg;charset=UTF-8
001 - 25 - Be Our Guest.jpg,downloaded,1,25,Be Our Guest,full,https://api.lorcana.ravensburger.com/images/en/set1/25_70ed49868782fed4a347083366d534f041af88a6.jpg,image/jpeg;charset=UTF-8
001 - 25 - Tentacle Swipe.jpg,downloaded,1,25,Tentacle Swipe,full,https://api.lorcana.ravensburger.com/images/en/quest1/25_c456b92eddf2290aec9a425ed256fe747cc92d23.jpg,image/jpeg;charset=UTF-8
001 - 26 - Control Your Temper!.jpg,downloaded,1,26,Control Your Temper!,full,https://api.lorcana.ravensburger.com/images/en/set1/26_00105c9e8c268f115558fb674dd2a32efc18a7c2.jpg,image/jpeg;charset=UTF-8
001 - 26 - Tsunami.jpg,downloaded,1,26,Tsunami,full,https://api.lorcana.ravensburger.com/images/en/quest1/26_500755d9b0389a18f0690e2c4d4e7db7fc84da6d.jpg,image/jpeg;charset=UTF-8
001 - 27 - Hakuna Matata.jpg,downloaded,1,27,Hakuna Matata,full,https://api.lorcana.ravensburger.com/images/en/set1/27_c91f6c65d9c24c8b9a6856a83b8b78d5d8ee3b2a.jpg,image/jpeg;charset=UTF-8
001 - 27 - Typhoon.jpg,downloaded,1,27,Typhoon,full,https://api.lorcana.ravensburger.com/images/en/quest1/27_6b145d5bf42d10a804f0dda9debae929c636ba14.jpg,image/jpeg;charset=UTF-8
001 - 28 - Healing Glow.jpg,downloaded,1,28,Healing Glow,full,https://api.lorcana.ravensburger.com/images/en/set1/28_845ac09c405ea172d8ee3801a399dfb94d0ffa76.jpg,image/jpeg;charset=UTF-8
001 - 28 - Whirlpool.jpg,downloaded,1,28,Whirlpool,full,https://api.lorcana.ravensburger.com/images/en/quest1/28_99a07f026787adfbd699620a3e07cbc255763bc1.jpg,image/jpeg;charset=UTF-8
001 - 29 - Just in Time.jpg,downloaded,1,29,Just in Time,full,https://api.lorcana.ravensburger.com/images/en/set1/29_29e38a0f084dcf1512c12a88c1cfb7a90a8752f1.jpg,image/jpeg;charset=UTF-8
001 - 29 - The Hexwell Crown.jpg,downloaded,1,29,The Hexwell Crown,full,https://api.lorcana.ravensburger.com/images/en/quest1/29_9649fea1ddda3282804ec86466640f438e5cb966.jpg,image/jpeg;charset=UTF-8
001 - 30 - Part of Your World.jpg,downloaded,1,30,Part of Your World,full,https://api.lorcana.ravensburger.com/images/en/set1/30_74e15b02eabfce2b19b02c8f59350194a47a7edc.jpg,image/jpeg;charset=UTF-8
001 - 30 - Ursula's Contract.jpg,downloaded,1,30,Ursula's Contract,full,https://api.lorcana.ravensburger.com/images/en/quest1/30_ca798fd081e19acbdf22ff9dd471b0f1fe667ba6.jpg,image/jpeg;charset=UTF-8
001 - 31 - Ursula's Stolen Trident.jpg,downloaded,1,31,Ursula's Stolen Trident,full,https://api.lorcana.ravensburger.com/images/en/quest1/31_4c80a2004343eac2dc02f9b7c4aef889e55c7d0d.jpg,image/jpeg;charset=UTF-8
001 - 31 - You Have Forgotten Me.jpg,downloaded,1,31,You Have Forgotten Me,full,https://api.lorcana.ravensburger.com/images/en/set1/31_1d6076185a2b0f7a9edcc195cc7392d25bceda4b.jpg,image/jpeg;charset=UTF-8
001 - 32 - Dinglehopper.jpg,downloaded,1,32,Dinglehopper,full,https://api.lorcana.ravensburger.com/images/en/set1/32_36afc47a05bb4a3dace4531c1db24cce7fcbceb7.jpg,image/jpeg;charset=UTF-8
001 - 33 - Lantern.jpg,downloaded,1,33,Lantern,full,https://api.lorcana.ravensburger.com/images/en/set1/33_0387aaa8150e80c49743e0a7fd898eb3f4ea2816.jpg,image/jpeg;charset=UTF-8
001 - 34 - Ursula's Shell Necklace.jpg,downloaded,1,34,Ursula's Shell Necklace,full,https://api.lorcana.ravensburger.com/images/en/set1/34_172c16efcf5b644bfe18dc49e3a096efea555286.jpg,image/jpeg;charset=UTF-8
001 - 35 - Anna - Heir to Arendelle.jpg,downloaded,1,35,Anna - Heir to Arendelle,full,https://api.lorcana.ravensburger.com/images/en/set1/35_4f4f468ca40d2e14bc796485687cf51a5405c27e.jpg,image/jpeg;charset=UTF-8
001 - 36 - Archimedes - Highly Educated Owl.jpg,downloaded,1,36,Archimedes - Highly Educated Owl,full,https://api.lorcana.ravensburger.com/images/en/set1/36_9b4622774b8ed661ffcad97da702922e35e326b1.jpg,image/jpeg;charset=UTF-8
001 - 37 - Dr. Facilier - Agent Provocateur.jpg,downloaded,1,37,Dr. Facilier - Agent Provocateur,full,https://api.lorcana.ravensburger.com/images/en/set1/37_df8214278bc2ef1790dfeb0a241cc1ec8bd5c693.jpg,image/jpeg;charset=UTF-8
001 - 38 - Dr. Facilier - Charlatan.jpg,downloaded,1,38,Dr. Facilier - Charlatan,full,https://api.lorcana.ravensburger.com/images/en/set1/38_917dbda387829301522cdf4101a0b3fdaea24b1e.jpg,image/jpeg;charset=UTF-8
001 - 39 - Dr. Facilier - Remarkable Gentleman.jpg,downloaded,1,39,Dr. Facilier - Remarkable Gentleman,full,https://api.lorcana.ravensburger.com/images/en/set1/39_80a78a0409453d0ad2d9fd175eac2568f3335383.jpg,image/jpeg;charset=UTF-8
001 - 40 - Elsa - Queen Regent.jpg,downloaded,1,40,Elsa - Queen Regent,full,https://api.lorcana.ravensburger.com/images/en/set1/40_01dc5bb928054aa2b228f2a1f97910208b36b42b.jpg,image/jpeg;charset=UTF-8
001 - 41 - Elsa - Snow Queen.jpg,downloaded,1,41,Elsa - Snow Queen,full,https://api.lorcana.ravensburger.com/images/en/set1/41_23da670a1d0bf54139cdea9af6f33f1bad868970.jpg,image/jpeg;charset=UTF-8
001 - 42 - Elsa - Spirit of Winter.jpg,downloaded,1,42,Elsa - Spirit of Winter,full,https://api.lorcana.ravensburger.com/images/en/set1/42_9ccb155ad39736f056e2dd4604aff781f3c9cb90.jpg,image/jpeg;charset=UTF-8
001 - 43 - Flotsam - Ursula's Spy.jpg,downloaded,1,43,Flotsam - Ursula's Spy,full,https://api.lorcana.ravensburger.com/images/en/set1/43_8d497710d66bfb4778e4c66043107d87b7174394.jpg,image/jpeg;charset=UTF-8
001 - 44 - Jafar - Keeper of Secrets.jpg,downloaded,1,44,Jafar - Keeper of Secrets,full,https://api.lorcana.ravensburger.com/images/en/set1/44_d054199f3b8fdfa625617b562603e27009bedf41.jpg,image/jpeg;charset=UTF-8
